"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2010";2,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2011";3,02;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2012";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2013";3,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2014";2,05;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2015";1,95;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2016";2,44;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2017";2,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2018";1,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2019";1,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"1999";12,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2000";12,70;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2001";13,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2002";13,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2003";14,08;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2004";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2005";12,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2006";12,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2007";12,88;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2008";13,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2009";13,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2010";14,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2011";14,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2012";13,10;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2013";13,81;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2014";14,03;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2015";14,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2016";16,26;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2017";15,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2018";14,94;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2019";15,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"1999";0,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2000";0,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2001";0,28;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2002";0,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2003";0,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2004";0,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2005";0,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2006";0,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2007";0,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2008";0,31;"zł";"";
