"Kod";"Nazwa";"Rodzaje produktów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2019";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"1999";1,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2000";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2001";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2002";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2003";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2004";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2005";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2006";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2007";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2008";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2009";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2010";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2011";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2012";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2013";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2014";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2015";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2016";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2017";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2018";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb 1kg";"2019";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"1999";;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2000";1,86;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2001";2,15;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2002";2,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2003";1,86;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2004";2,16;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2005";1,90;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2006";1,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2007";2,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2008";2,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2009";2,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2010";2,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2011";3,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2012";3,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2013";3,71;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2014";3,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2015";3,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2016";3,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2017";3,75;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2018";4,04;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2019";4,24;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"1999";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2000";1,09;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2001";0,96;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2002";0,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2003";0,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2004";0,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2005";0,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2006";0,81;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2007";1,07;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2008";1,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2009";0,92;"zł";"";
